"Datetime","Food","Quantity","Type","Category"
"2016-05-26 11:06:15","Coffee","150","Liquid","Drink"
"2016-05-26 12:40:50","Biscuits ","20","Solid","Indian"
"2016-05-26 12:43:24","Tea","150","Liquid","Drink"
"2016-05-26 14:05:04","Rice","150","Solid","Indian"
"2016-05-26 14:05:19","Mutton","50","Solid","Indian"
"2016-05-26 14:05:26","Ragi Mudde","150","Solid","Indian"
"2016-05-26 14:05:36","Chicken","40","Solid","Indian"
"2016-05-26 18:30:47","Rice and Sambhar","200","Solid","Indian"
"2016-05-26 21:55:19","Non Veg Pizza","200","Solid","Italian"
"2016-05-26 21:56:44","Whiskey ","90","Liquid","Indian"
"2016-05-27 10:15:51","Egg Omlet","100","Solid","Indian"
"2016-05-27 12:48:48","Mango","50","Solid","Fruit "
"2016-05-27 12:55:44","Tea","150","Liquid","Drink"
"2016-05-27 14:13:18","Rice Bath","300","Solid","Indian"
"2016-05-27 14:18:48","Coffee Sugarless","100","Liquid","Drink"
"2016-05-27 18:35:13","Tea","300","Liquid","Drink"
"2016-05-27 19:44:31","Orange Juice - Sugar","100","Liquid","Drink"
"2016-05-27 21:16:07","Orange Juice - Sugar","250","Liquid","Drink"
"2016-05-27 21:16:29","Tapioca chips","75","Solid","Indian"
"2016-05-27 22:37:54","Chicken","200","Solid","Indian"
"2016-05-27 22:38:24","Rice","250","Solid","Indian"
"2016-05-27 23:02:50","Ice cream ","100","Solid","Desserts "
"2016-05-28 11:00:35","Dose","100","Solid","Indian"
"2016-05-28 12:10:19","Coffee","150","Liquid","Drink"
"2016-05-28 13:09:58","Coffee","150","Solid","Drink"
"2016-05-28 18:00:15","Samosa","250","Solid","Indian"
"2016-05-28 18:00:47","Tea","150","Liquid","Drink"
"2016-05-28 22:30:38","Dose","300","Solid","Indian"
"2016-05-29 09:26:03","Tea","250","Liquid","Drink"
"2016-05-29 10:49:00","Upma","300","Solid","Indian"
"2016-05-29 12:30:24","Coffee","100","Liquid","Drink"
"2016-05-29 13:41:55","Ragi Mudde","400","Solid","Indian"
"2016-05-29 14:00:52","Buttermilk ","300","Liquid","Drink"
"2016-05-29 17:23:48","Tea","200","Liquid","Drink"
"2016-05-29 17:24:06","Obattu","200","Solid","Desserts "
"2016-05-29 19:05:42","Tea","100","Liquid","Drink"
"2016-05-29 22:49:04","Puttu + Kadale","250","Solid","Indian"
"2016-05-30 08:45:06","Tea","300","Liquid","Drink"
"2016-05-30 10:05:08","Egg Omlet","100","Solid","Italian"
"2016-05-30 10:05:52","Coffee","300","Liquid","Drink"
"2016-05-30 13:10:27","Coffee","250","Liquid","Drink"
"2016-05-30 13:10:44","Jack fruit ","300","Solid","Fruit "
"2016-05-30 13:11:28","Rice and Sambhar","200","Solid","Indian"
"2016-05-30 13:12:02","Chapati","150","Liquid","Indian"
"2016-05-30 17:06:36","Tea","300","Liquid","Drink"
"2016-05-31 08:44:32","Tea","250","Liquid","Drink"
"2016-05-31 09:40:28","Upma","200","Solid","Indian"
"2016-05-31 12:56:02","Jack fruit ","100","Solid","Fruit "
"2016-05-31 12:56:41","Rice and Sambhar","200","Solid","Indian"
"2016-05-31 12:57:06","Chapati","100","Solid","Indian"
"2016-05-31 16:31:34","Kadale","100","Solid","Indian"
"2016-05-31 18:30:54","Tea","150","Liquid","Drink"
"2016-05-31 18:34:29","Upma","150","Solid","Indian"
"2016-05-31 19:30:08","Dose","100","Solid","Indian"
"2016-05-31 21:15:33","Wine","150","Liquid","Alcohol "
"2016-06-01 00:35:51","Wine","200","Liquid","Alcohol "
"2016-06-01 10:55:31","Dose","100","Solid","Indian"
"2016-06-01 12:08:00","Tea","150","Liquid","Drink"
"2016-06-01 13:24:31","Coffee","100","Liquid","Drink"
"2016-06-01 13:24:42","Rice Bath","400","Solid","Indian"
"2016-06-01 17:01:23","Tea","50","Liquid","Drink"
"2016-06-01 17:01:37","Chaats","200","Solid","Indian"
"2016-06-01 19:11:43","Dose","200","Solid","Indian"
"2016-06-01 23:00:07","Mango","200","Solid","Fruit "
"2016-06-02 10:24:21","Coffee","150","Liquid","Drink"
"2016-06-02 10:24:43","Idly Vada","300","Solid","Indian"
"2016-06-02 13:40:49","Upma","100","Solid","Indian"
"2016-06-02 13:47:36","Coffee","100","Liquid","Drink"
"2016-06-02 19:05:01","Coffee","300","Liquid","Drink"
"2016-06-03 10:10:42","Ragi","200","Semi solid","Indian"
"2016-06-03 10:51:20","Banana","200","Liquid","Drink"
"2016-06-03 13:20:03","Rice and Sambhar","300","Solid","Indian"
"2016-06-03 13:30:21","Coffee","100","Liquid","Drink"
"2016-06-04 15:42:16","Ice cream ","100","Semi solid","Desserts "
"2016-06-04 19:37:22","Coffee","100","Liquid","Drink"
"2016-06-05 12:15:21","Rice and Sambhar","400","Solid","Indian"
"2016-06-05 12:45:54","Tea","150","Liquid","Drink"
"2016-06-05 15:13:21","Payasa","250","Liquid","Desserts "
