"Start","End","Rate"
"2016-01-01 00:03:58","2016-01-01 09:04:02","3"
"2016-01-01 23:38:24","2016-01-02 03:45:51","3"
"2016-01-02 12:39:38","2016-01-02 16:40:03","4"
"2016-01-02 23:40:33","2016-01-03 10:30:38","5"
"2016-01-03 23:56:01","2016-01-04 08:05:15","4"
"2016-01-04 23:20:35","2016-01-05 08:08:33","4"
"2016-01-05 23:19:04","2016-01-06 06:19:18","4"
"2016-01-06 22:15:40","2016-01-07 08:00:03","4"
"2016-01-08 00:05:56","2016-01-08 09:30:11","2"
"2016-01-09 00:05:04","2016-01-09 08:30:24","2"
"2016-01-09 16:03:30","2016-01-09 17:30:13","3"
"2016-01-10 23:30:20","2016-01-11 08:41:54","4"
"2016-01-11 23:55:41","2016-01-12 08:30:06","3"
"2016-01-12 15:44:26","2016-01-12 18:05:40","4"
"2016-01-12 23:55:39","2016-01-13 08:20:43","4"
"2016-01-14 00:55:19","2016-01-14 08:05:12","4"
"2016-01-15 01:30:19","2016-01-15 09:51:27","3"
"2016-01-15 13:24:04","2016-01-15 15:24:20","3"
"2016-01-16 01:23:30","2016-01-16 03:23:35","3"
"2016-01-17 00:10:33","2016-01-17 09:10:38","4"
"2016-01-18 00:15:19","2016-01-18 05:45:35","4"
"2016-01-19 01:30:45","2016-01-19 09:30:49","3"
"2016-01-20 00:30:55","2016-01-20 07:30:59","4"
"2016-01-21 02:26:54","2016-01-21 08:27:04","3"
"2016-01-21 23:45:08","2016-01-22 08:45:32","4"
"2016-01-23 01:10:01","2016-01-23 07:30:14","3"
"2016-01-23 22:15:53","2016-01-24 07:15:59","3"
"2016-01-24 13:05:25","2016-01-24 16:00:37","4"
"2016-01-25 01:10:16","2016-01-25 06:15:27","2"
"2016-01-25 17:30:48","2016-01-25 19:10:09","4"
"2016-01-26 00:58:10","2016-01-26 07:30:29","3"
"2016-01-27 01:10:23","2016-01-27 08:05:30","3"
"2016-01-28 01:30:17","2016-01-28 07:55:26","3"
"2016-01-29 00:05:54","2016-01-29 08:05:06",3
"2016-01-29 23:44:02","2016-01-30 06:30:52",3
"2016-01-30 11:55:43","2016-01-31 06:05:07",3
"2016-01-31 22:05:31","2016-02-01 08:30:47",4
"2016-02-01 23:30:17","2016-02-02 08:30:05",3
"2016-02-03 00:30:23","2016-02-03 06:45:37",4
"2016-02-04 01:30:17","2016-02-06 06:30:28",3
"2016-02-05 01:41:58","2016-02-05 07:30:07",3
"2016-02-06 00:15:28","2016-02-06 06:43:03",4
"2016-02-07 01:41:47","2016-02-07 06:45:00",3
"2016-02-07 16:37:42","2016-02-07 18:38:11",3
"2016-02-08 01:36:47","2016-02-08 09:37:27",3
"2016-02-09 00:15:58","2016-02-09 09:30:18",3
"2016-02-10 00:15:26","2016-02-10 09:58:44",4
"2016-02-11 00:34:37","2016-02-11 08:34:46",3
"2016-02-12 00:20:36","2016-02-12 08:56:57",3
"2016-02-13 00:56:09","2016-02-13 09:56:25",4
"2016-02-14 00:55:32","2016-02-14 08:20:47",4
"2016-02-14 11:53:58","2016-02-15 07:55:12",3
"2016-02-16 01:22:57","2016-02-16 09:23:24",3

